number,value,datetime_start,datetime_complete,duration,params_d,params_lr,params_m,params_s,state
0,0.01641871848780858,2023-06-23 06:55:54.205688,2023-06-23 06:56:50.245892,0 days 00:00:56.040204,48,0.0001988710796740462,8,6,COMPLETE
1,0.014095168315658444,2023-06-23 06:56:50.247356,2023-06-23 06:57:35.130433,0 days 00:00:44.883077,32,0.0005787319068390336,5,16,COMPLETE
2,0.014018701144347065,2023-06-23 06:57:35.132210,2023-06-23 06:57:59.355489,0 days 00:00:24.223279,124,0.006055297772846238,8,7,COMPLETE
3,0.012923844648819221,2023-06-23 06:57:59.358844,2023-06-23 06:58:44.421620,0 days 00:00:45.062776,127,0.0014427274625543039,4,13,COMPLETE
4,0.014027765363846955,2023-06-23 06:58:44.424916,2023-06-23 06:59:29.526205,0 days 00:00:45.101289,102,0.0006016590126092221,4,5,COMPLETE
5,0.014258856296931443,2023-06-23 06:59:29.527687,2023-06-23 07:00:14.658356,0 days 00:00:45.130669,102,0.0005470198240213521,8,7,COMPLETE
6,0.020292626889912707,2023-06-23 07:00:14.659749,2023-06-23 07:00:59.756871,0 days 00:00:45.097122,98,0.00011089433088427525,6,15,COMPLETE
7,0.013318585035832305,2023-06-23 07:00:59.758215,2023-06-23 07:01:44.965492,0 days 00:00:45.207277,128,0.000981296578061436,8,15,COMPLETE
8,0.014255606226230922,2023-06-23 07:01:44.967039,2023-06-23 07:02:06.023859,0 days 00:00:21.056820,82,0.008377202139550422,8,17,COMPLETE
9,0.014402391585080247,2023-06-23 07:02:06.026369,2023-06-23 07:02:51.060008,0 days 00:00:45.033639,108,0.0005990600278293813,8,13,COMPLETE
10,0.012460733665839621,2023-06-23 07:02:51.061356,2023-06-23 07:03:36.035900,0 days 00:00:44.974544,64,0.0033338388468824756,2,20,COMPLETE
11,0.012720815984434202,2023-06-23 07:03:36.038195,2023-06-23 07:04:21.004731,0 days 00:00:44.966536,68,0.0027025953889327197,2,20,COMPLETE
12,0.012545482108467504,2023-06-23 07:04:21.006169,2023-06-23 07:05:06.021382,0 days 00:00:45.015213,64,0.0033320871301906908,2,20,COMPLETE
13,0.012530873529613018,2023-06-23 07:05:06.022672,2023-06-23 07:05:51.028141,0 days 00:00:45.005469,64,0.00359065717062778,2,20,COMPLETE
14,0.012231527729646155,2023-06-23 07:05:51.029517,2023-06-23 07:06:36.117898,0 days 00:00:45.088381,58,0.0044322735656962126,3,18,COMPLETE
15,0.014268847819613783,2023-06-23 07:06:36.119385,2023-06-23 07:07:13.596860,0 days 00:00:37.477475,49,0.008515411389074837,3,18,COMPLETE
16,0.012195466086268425,2023-06-23 07:07:13.598332,2023-06-23 07:07:58.505549,0 days 00:00:44.907217,81,0.004828034330452937,3,10,COMPLETE
17,0.012598181094386075,2023-06-23 07:07:58.507011,2023-06-23 07:08:43.554897,0 days 00:00:45.047886,80,0.004953584006707966,4,10,COMPLETE
18,0.012891847640275955,2023-06-23 07:08:43.556229,2023-06-23 07:09:28.527019,0 days 00:00:44.970790,83,0.0018428262598859028,3,10,COMPLETE
19,0.013004607471980546,2023-06-23 07:09:28.528383,2023-06-23 07:10:13.596730,0 days 00:00:45.068347,51,0.008970582263984738,6,10,COMPLETE
20,0.012600226572861797,2023-06-23 07:10:13.598516,2023-06-23 07:10:58.657304,0 days 00:00:45.058788,33,0.005163404035266974,3,11,COMPLETE
21,0.01250985063808529,2023-06-23 07:10:58.658691,2023-06-23 07:11:43.682426,0 days 00:00:45.023735,74,0.0030447749999052997,3,18,COMPLETE
22,0.012162919548389158,2023-06-23 07:11:43.683971,2023-06-23 07:12:28.970424,0 days 00:00:45.286453,91,0.004974424065215662,2,18,COMPLETE
23,0.012359244307797206,2023-06-23 07:12:28.971843,2023-06-23 07:13:13.955693,0 days 00:00:44.983850,92,0.005349264732304735,5,12,COMPLETE
24,0.013253799296523395,2023-06-23 07:13:13.956993,2023-06-23 07:13:39.455983,0 days 00:00:25.498990,114,0.009940667149925992,3,18,COMPLETE
25,0.01271787398543797,2023-06-23 07:13:39.457372,2023-06-23 07:14:24.331132,0 days 00:00:44.873760,87,0.0022373420440353186,2,8,COMPLETE
26,0.01306050417846755,2023-06-23 07:14:24.332356,2023-06-23 07:14:58.796854,0 days 00:00:34.464498,92,0.004059936774781927,4,14,COMPLETE
27,0.012375281682532085,2023-06-23 07:14:58.798302,2023-06-23 07:15:37.770626,0 days 00:00:38.972324,74,0.0066335781437330205,5,16,COMPLETE
28,0.012480337908001323,2023-06-23 07:15:37.772115,2023-06-23 07:16:22.798093,0 days 00:00:45.025978,57,0.004310854688616244,3,8,COMPLETE
29,0.012755351729298892,2023-06-23 07:16:22.799783,2023-06-23 07:17:07.739898,0 days 00:00:44.940115,40,0.0024044893386930164,2,17,COMPLETE
