number,value,datetime_start,datetime_complete,duration,params_d,params_lr,params_m,params_s,state
0,0.0030055847329397995,2023-06-27 10:42:40.217941,2023-06-27 10:48:47.797864,0 days 00:06:07.579923,41,0.0020513897738783315,4,7,COMPLETE
1,0.003468854740882913,2023-06-27 10:48:47.799085,2023-06-27 10:54:52.526636,0 days 00:06:04.727551,86,0.009081346094376965,5,13,COMPLETE
2,0.00326818882022053,2023-06-27 10:54:52.528040,2023-06-27 11:00:57.475858,0 days 00:06:04.947818,51,0.0010691800704168213,4,5,COMPLETE
3,0.00285804474260658,2023-06-27 11:00:57.477130,2023-06-27 11:07:02.410828,0 days 00:06:04.933698,97,0.0013251335904363142,6,9,COMPLETE
4,0.0041436144538844625,2023-06-27 11:07:02.412252,2023-06-27 11:13:10.546769,0 days 00:06:08.134517,68,0.0002720172212978482,6,11,COMPLETE
5,0.002567346937333544,2023-06-27 11:13:10.548046,2023-06-27 11:19:15.653149,0 days 00:06:05.105103,89,0.005901715280878021,3,18,COMPLETE
6,0.006763569203515848,2023-06-27 11:19:15.654745,2023-06-27 11:25:21.664409,0 days 00:06:06.009664,40,0.00020797697871512375,8,15,COMPLETE
7,0.0027034430454174678,2023-06-27 11:25:21.665723,2023-06-27 11:31:31.460504,0 days 00:06:09.794781,75,0.0028164145423722883,7,7,COMPLETE
8,0.003743892683026691,2023-06-27 11:31:31.462511,2023-06-27 11:37:38.446758,0 days 00:06:06.984247,51,0.0003931344249274683,3,5,COMPLETE
9,0.002657987317070365,2023-06-27 11:37:38.448413,2023-06-27 11:43:45.388322,0 days 00:06:06.939909,53,0.0015226540460444504,6,18,COMPLETE
10,0.0024125145204986135,2023-06-27 11:43:45.389582,2023-06-27 11:49:49.511437,0 days 00:06:04.121855,126,0.006763483531541751,2,20,COMPLETE
11,0.0029996424602965516,2023-06-27 11:49:49.512728,2023-06-27 11:55:55.386528,0 days 00:06:05.873800,126,0.00914290036631711,2,20,COMPLETE
12,0.002333261383076509,2023-06-27 11:55:55.387886,2023-06-27 12:02:00.600529,0 days 00:06:05.212643,126,0.0043647639127879605,2,17,COMPLETE
13,0.002260895872799059,2023-06-27 12:02:00.601784,2023-06-27 12:08:05.219334,0 days 00:06:04.617550,127,0.003944909128384236,2,16,COMPLETE
14,0.002279778903660675,2023-06-27 12:08:05.220788,2023-06-27 12:14:10.358916,0 days 00:06:05.138128,108,0.0038450787202220214,2,15,COMPLETE
15,0.0029615643977498013,2023-06-27 12:14:10.360201,2023-06-27 12:20:15.673815,0 days 00:06:05.313614,107,0.003360915837544811,3,14,COMPLETE
16,0.0034680402372032405,2023-06-27 12:20:15.675283,2023-06-27 12:26:23.062395,0 days 00:06:07.387112,111,0.0006153637906504254,4,16,COMPLETE
17,0.007906322584797938,2023-06-27 12:26:23.063623,2023-06-27 12:32:28.863730,0 days 00:06:05.800107,111,0.00010436136867739254,2,12,COMPLETE
18,0.002263621656068911,2023-06-27 12:32:28.864994,2023-06-27 12:38:36.334172,0 days 00:06:07.469178,102,0.0029892068544955163,3,11,COMPLETE
19,0.002524806302972138,2023-06-27 12:38:36.335409,2023-06-27 12:44:43.199966,0 days 00:06:06.864557,98,0.0021526955238489803,3,10,COMPLETE
20,0.002934116350176434,2023-06-27 12:44:43.201221,2023-06-27 12:50:44.807952,0 days 00:06:01.606731,116,0.004889666954721834,5,13,COMPLETE
21,0.002624190521116058,2023-06-27 12:50:44.809193,2023-06-27 12:56:48.757890,0 days 00:06:03.948697,100,0.0034841508728279927,2,15,COMPLETE
22,0.002245934532644848,2023-06-27 12:56:48.759120,2023-06-27 13:02:52.491721,0 days 00:06:03.732601,116,0.0027743315476459556,3,15,COMPLETE
23,0.0024529861519113185,2023-06-27 13:02:52.493016,2023-06-27 13:08:54.928498,0 days 00:06:02.435482,122,0.0021180306169478946,4,11,COMPLETE
24,0.0023120366657773655,2023-06-27 13:08:54.929762,2023-06-27 13:14:57.629449,0 days 00:06:02.699687,118,0.0026686351394649933,3,18,COMPLETE
