number,value,datetime_start,datetime_complete,duration,params_lr,state
0,0.07279483814324651,2023-07-03 16:27:59.814636,2023-07-03 16:37:25.927429,0 days 00:09:26.112793,0.006248422135602934,COMPLETE
1,0.0026212957787460516,2023-07-03 16:37:25.929514,2023-07-03 16:45:29.223599,0 days 00:08:03.294085,0.0002259203371712942,COMPLETE
2,0.003499216815855886,2023-07-03 16:45:29.225442,2023-07-03 16:53:20.068910,0 days 00:07:50.843468,0.0028641591966713765,COMPLETE
3,0.0027051152594919714,2023-07-03 16:53:20.070221,2023-07-03 17:01:24.189752,0 days 00:08:04.119531,0.00015177935886178602,COMPLETE
4,0.004370987581621323,2023-07-03 17:01:24.191840,2023-07-03 17:09:08.203668,0 days 00:07:44.011828,0.009861603737519918,COMPLETE
5,0.004193330300040543,2023-07-03 17:09:08.204856,2023-07-03 17:17:02.382418,0 days 00:07:54.177562,0.0023647798238166087,COMPLETE
6,0.00324105002385165,2023-07-03 17:17:02.383746,2023-07-03 17:24:48.241806,0 days 00:07:45.858060,0.008447167353748718,COMPLETE
7,0.0032276509030322942,2023-07-03 17:24:48.243448,2023-07-03 17:32:50.284582,0 days 00:08:02.041134,0.00014325425693500948,COMPLETE
8,0.0028295725683814715,2023-07-03 17:32:50.286286,2023-07-03 17:40:47.479107,0 days 00:07:57.192821,0.0007962756737500714,COMPLETE
9,0.002845065402133124,2023-07-03 17:40:47.480540,2023-07-03 17:48:47.999841,0 days 00:08:00.519301,0.0002081074585615342,COMPLETE
