number,value,datetime_start,datetime_complete,duration,params_lr,state
0,0.30945353507995604,2023-06-23 11:54:48.698978,2023-06-23 11:55:53.952548,0 days 00:01:05.253570,0.00022528313372384702,COMPLETE
1,0.30816786289215087,2023-06-23 11:55:53.955288,2023-06-23 11:56:46.961177,0 days 00:00:53.005889,0.0003364308758795853,COMPLETE
2,0.30704432129859927,2023-06-23 11:56:46.964142,2023-06-23 11:57:40.549121,0 days 00:00:53.584979,0.0021813733603672013,COMPLETE
3,0.3074863016605377,2023-06-23 11:57:40.553783,2023-06-23 11:58:34.105408,0 days 00:00:53.551625,0.00430999640070311,COMPLETE
4,0.3096135795116425,2023-06-23 11:58:34.106560,2023-06-23 11:59:27.896458,0 days 00:00:53.789898,0.00019903575861731024,COMPLETE
5,0.31121707558631895,2023-06-23 11:59:27.898543,2023-06-23 12:00:21.898126,0 days 00:00:53.999583,0.00012029110548117854,COMPLETE
6,0.33588420748710635,2023-06-23 12:00:21.899721,2023-06-23 12:01:15.768767,0 days 00:00:53.869046,0.00013479954205382688,COMPLETE
7,0.3070357501506805,2023-06-23 12:01:15.770073,2023-06-23 12:02:09.526999,0 days 00:00:53.756926,0.001499312195056801,COMPLETE
8,0.30882157683372496,2023-06-23 12:02:09.528439,2023-06-23 12:03:03.566133,0 days 00:00:54.037694,0.00021823156629393884,COMPLETE
9,0.3411922872066498,2023-06-23 12:03:03.569434,2023-06-23 12:03:57.422998,0 days 00:00:53.853564,0.00013324852598744008,COMPLETE
10,0.3961703240871429,2023-06-23 12:03:57.426708,2023-06-23 12:04:49.583958,0 days 00:00:52.157250,0.009749433623618482,COMPLETE
11,0.3308343470096588,2023-06-23 12:04:49.585060,2023-06-23 12:05:43.314771,0 days 00:00:53.729711,0.0014473171889245618,COMPLETE
12,0.33089867830276487,2023-06-23 12:05:43.316032,2023-06-23 12:06:37.120519,0 days 00:00:53.804487,0.001208754911001846,COMPLETE
13,0.3452106714248657,2023-06-23 12:06:37.121875,2023-06-23 12:07:30.691556,0 days 00:00:53.569681,0.0026174671880425673,COMPLETE
14,0.33449307084083557,2023-06-23 12:07:30.692508,2023-06-23 12:08:24.497357,0 days 00:00:53.804849,0.0005789671418034062,COMPLETE
15,0.3070348620414734,2023-06-23 12:08:24.501467,2023-06-23 12:09:18.319455,0 days 00:00:53.817988,0.000685586092102572,COMPLETE
16,0.30728464722633364,2023-06-23 12:09:18.322645,2023-06-23 12:10:12.291142,0 days 00:00:53.968497,0.000699544499987055,COMPLETE
17,0.3078468978404999,2023-06-23 12:10:12.292440,2023-06-23 12:11:06.103632,0 days 00:00:53.811192,0.0006015365047271088,COMPLETE
18,0.3070763647556305,2023-06-23 12:11:06.104951,2023-06-23 12:11:59.940348,0 days 00:00:53.835397,0.0008712696230817436,COMPLETE
19,0.308608615398407,2023-06-23 12:11:59.942077,2023-06-23 12:12:53.699546,0 days 00:00:53.757469,0.0003720203803525312,COMPLETE
